file_name,female_ID,stimuli,num_calls,location
JG14_Lp2037.wav,2041,female call + male courtship,9,Field
JG14_Lp2069.wav,3041,female call + male courtship,11,Field
JG14_Lp2081.wav,2412,female call + male courtship,15,Field
JG14_Lp2099.wav,2431,female call + male courtship,3,Field
JG14_Lp2132.wav,2032,female call + male courtship,3,Captivity
JG14_Lp2140.wav,304X,female call + male courtship,4,Captivity
JG14_Lp2144.wav,3021,female call + male courtship,5,Captivity
JG14_Lp2154.wav,1020,female call + male courtship,1,Captivity
JG14_Lp2160.wav,3422,female call + male courtship,12,Field
JG14_Lp2167.wav,3032,female call + male courtship,7,Captivity
JG14_Lp2035.wav,2041,female call,13,Field
JG14_Lp2070.wav,3041,female call,14,Field
JG14_Lp2080.wav,2412,female call,20,Field
JG14_Lp2098.wav,2431,female call,6,Field
JG14_Lp2131.wav,2032,female call,4,Captivity
JG14_Lp2137.wav,304X,female call,4,Captivity
JG14_Lp2143.wav,3021,female call,6,Captivity
JG14_Lp2153.wav,1020,female call,0,Captivity
JG14_Lp2157.wav,3422,female call,21,Field
JG14_Lp2164.wav,3032,female call,10,Captivity
JG14_Lp2036.wav,2041,male courtship,4,Field
JG14_Lp2071.wav,3041,male courtship,16,Field
JG14_Lp2082.wav,2412,male courtship,16,Field
JG14_Lp2100.wav,2431,male courtship,2,Field
JG14_Lp2133.wav,2032,male courtship,1,Captivity
JG14_Lp2139.wav,304X,male courtship,1,Captivity
JG14_Lp2145.wav,3021,male courtship,5,Captivity
JG14_Lp2155.wav,1020,male courtship,3,Captivity
JG14_Lp2158.wav,3422,male courtship,13,Field
JG14_Lp2165.wav,3032,male courtship,10,Captivity
JG14_Lp2033.wav,2041,male trill,2,Field
JG14_Lp2065.wav,3041,male trill,14,Field
JG14_Lp2078.wav,2412,male trill,20,Field
JG14_Lp2096.wav,2431,male trill,3,Field
JG14_Lp2129.wav,2032,male trill,1,Captivity
JG14_Lp2136.wav,304X,male trill,3,Captivity
JG14_Lp2141.wav,3021,male trill,3,Captivity
JG14_Lp2151.wav,1020,male trill,3,Captivity
JG14_Lp2156.wav,3422,male trill,6,Field
JG14_Lp2163.wav,3032,male trill,16,Captivity
JG14_Lp2034.wav,2041,male trill + female call,5,Field
JG14_Lp2068.wav,3041,male trill + female call,19,Field
JG14_Lp2079.wav,2412,male trill + female call,8,Field
JG14_Lp2097.wav,2431,male trill + female call,1,Field
JG14_Lp2130.wav,2032,male trill + female call,2,Captivity
JG14_Lp2138.wav,304X,male trill + female call,3,Captivity
JG14_Lp2142.wav,3021,male trill + female call,6,Captivity
JG14_Lp2152.wav,1020,male trill + female call,4,Captivity
JG14_Lp2159.wav,3422,male trill + female call,13,Field
JG14_Lp2166.wav,3032,male trill + female call,9,Captivity
