Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Name
1	Spectrogram 1	1	5.351859039	5.408748816	1052.8	5013.4	fem_resp
2	Spectrogram 1	1	16.956259518	17.023043170	977.6	5289.1	fem_resp
3	Spectrogram 1	1	31.484639701	31.546476416	827.2	5138.7	fem_resp
4	Spectrogram 1	1	43.924281791	44.253253113	580.0	2969.8	PB_courtship
5	Spectrogram 1	1	59.265268259	59.327104974	927.5	5038.5	fem_resp
6	Spectrogram 1	1	69.164042230	69.225878945	701.9	5213.9	fem_resp
7	Spectrogram 1	1	89.248512707	89.315296359	601.6	5063.5	fem_resp
8	Spectrogram 1	1	103.976986787	104.303484640	556.8	3085.9	PB_courtship
9	Spectrogram 1	1	120.314247560	120.381031212	902.4	5088.6	fem_resp
10	Spectrogram 1	1	145.354110892	145.423368012	852.3	5038.5	fem_resp
11	Spectrogram 1	1	164.020686973	164.332344015	649.7	2969.8	PB_courtship
12	Spectrogram 1	1	188.493494222	188.560277874	601.6	5339.3	fem_resp
13	Spectrogram 1	1	208.024085539	208.098289596	1027.7	5188.9	fem_resp
14	Spectrogram 1	1	223.984880560	224.363321253	696.1	2993.1	PB_courtship
15	Spectrogram 1	1	250.983261268	251.052518389	726.9	5138.7	fem_resp
16	Spectrogram 1	1	262.313640142	262.395264606	1002.7	5088.6	fem_resp
17	Spectrogram 1	1	275.206184169	275.280388226	927.5	5239.0	fem_resp
18	Spectrogram 1	1	284.046946073	284.415492893	580.0	2993.1	PB_courtship
19	Spectrogram 1	1	302.186653523	302.263331049	802.1	5138.7	fem_resp
20	Spectrogram 1	1	319.814096272	319.885826861	1027.7	5113.7	fem_resp
21	Spectrogram 1	1	344.134279681	344.448410191	835.3	3016.3	PB_courtship
22	Spectrogram 1	1	360.440039069	360.504349252	1027.7	5063.5	fem_resp
