Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Name
1	Spectrogram 1	1	2.988817901	3.086279355	1288.200	4131.100	fem_resp
2	Spectrogram 1	1	25.862608105	25.950787515	1066.100	5790.600	fem_resp
3	Spectrogram 1	1	42.344870573	42.465537134	1154.900	6059.900	fem_resp
4	Spectrogram 1	1	58.742223717	58.835044149	932.800	3553.700	PB_fem call
5	Spectrogram 1	1	59.489428193	59.577607603	1332.600	5863.500	fem_resp
6	Spectrogram 1	1	73.746847020	73.835026430	1021.700	3731.300	PB_fem call
7	Spectrogram 1	1	80.061273120	80.149452530	1154.900	6307.800	fem_resp
8	Spectrogram 1	1	88.786914464	88.856529788	977.300	3331.600	PB_fem call
9	Spectrogram 1	1	95.397831731	95.472088076	1021.700	6130.100	fem_resp
10	Spectrogram 1	1	103.789330966	103.882151397	977.300	3376.000	PB_fem call
11	Spectrogram 1	1	109.987401841	110.094145338	1110.500	5463.800	fem_resp
12	Spectrogram 1	1	118.803963612	118.896784044	888.400	3331.600	PB_fem call
13	Spectrogram 1	1	128.780894490	128.896920029	1243.800	5774.700	fem_resp
14	Spectrogram 1	1	133.811761889	133.923146407	888.400	3376.000	PB_fem call
15	Spectrogram 1	1	144.811501803	144.913604278	1288.200	5774.700	fem_resp
16	Spectrogram 1	1	148.836949540	148.943693036	1110.500	3331.600	PB_fem call
17	Spectrogram 1	1	162.411729133	162.523113651	977.300	5463.800	fem_resp
18	Spectrogram 1	1	163.850445825	163.947907278	1110.500	3198.300	PB_fem call
19	Spectrogram 1	1	178.187398499	178.294141995	1110.500	5197.200	fem_resp
20	Spectrogram 1	1	178.860346629	178.967090125	1110.500	2576.400	PB_fem call
21	Spectrogram 1	1	190.717823080	190.833848620	1154.900	5374.900	fem_resp
22	Spectrogram 1	1	193.884068233	193.986170708	1154.900	3065.000	PB_fem call
23	Spectrogram 1	1	208.898075844	209.009460362	1110.500	3287.100	PB_fem call
24	Spectrogram 1	1	223.931068046	224.014606435	844.000	3420.400	PB_fem call
25	Spectrogram 1	1	229.247038025	229.330576413	1021.700	5552.600	fem_resp
26	Spectrogram 1	1	238.929275476	239.045301016	1021.700	3464.800	PB_fem call
27	Spectrogram 1	1	250.774819688	250.881563185	1199.400	7596.000	fem_resp
28	Spectrogram 1	1	253.958560496	254.056021950	932.800	3598.100	PB_fem call
29	Spectrogram 1	1	264.511830506	264.632497068	1288.200	6618.700	fem_resp
30	Spectrogram 1	1	268.959906559	269.071291077	844.000	3553.700	PB_fem call
31	Spectrogram 1	1	277.636840066	277.734301520	1243.800	5730.300	fem_resp
32	Spectrogram 1	1	283.976155304	284.087539823	1021.700	3731.300	PB_fem call
33	Spectrogram 1	1	299.006395046	299.103856499	666.300	3642.500	PB_fem call
34	Spectrogram 1	1	299.772163608	299.878907104	1154.900	5996.800	fem_resp
35	Spectrogram 1	1	314.018411831	314.125155327	710.700	3686.900	PB_fem call
36	Spectrogram 1	1	319.749662421	319.847123874	1154.900	6041.200	fem_resp
37	Spectrogram 1	1	329.046467661	329.120724006	577.500	3553.700	PB_fem call
38	Spectrogram 1	1	334.410736416	334.512838891	1199.400	7062.900	fem_resp
39	Spectrogram 1	1	344.063102578	344.141999945	844.000	3464.800	PB_fem call
40	Spectrogram 1	1	355.098583993	355.191404425	1288.200	5863.500	fem_resp
41	Spectrogram 1	1	359.067930410	359.156109820	888.400	3553.700	PB_fem call
42	Spectrogram 1	1	13.675621245	13.800325763	1096.728	1818.259	PB_fem call
43	Spectrogram 1	1	28.729824685	28.802022037	1241.421	1832.574	PB_fem call
44	Spectrogram 1	1	43.723678239	43.841819361	1211.863	1862.131	PB_fem call
