Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Name
1	Spectrogram 1	1	1.708878786	4.062088917	914.7	4324.1	PB_trill
2	Spectrogram 1	1	5.112629154	5.686924484	1247.3	2868.9	PB_fem call
3	Spectrogram 1	1	61.823551216	64.148746941	956.3	4199.4	PB_trill
4	Spectrogram 1	1	65.045207943	65.759575304	914.7	2536.3	PB_fem call
5	Spectrogram 1	1	95.459842128	96.034137457	914.7	7525.6	fem_resp
6	Spectrogram 1	1	120.943280177	121.447539490	914.7	7068.2	fem_resp
7	Spectrogram 1	1	121.923784398	124.234972920	914.7	4240.9	PB_trill
8	Spectrogram 1	1	125.117426719	125.733743658	1288.9	3534.1	PB_fem call
9	Spectrogram 1	1	170.564588126	171.152890659	914.7	7650.3	fem_resp
10	Spectrogram 1	1	181.856267731	184.111427440	831.6	4906.2	PB_trill
11	Spectrogram 1	1	185.147960474	185.820306226	997.9	3201.5	PB_fem call
12	Spectrogram 1	1	238.734171008	239.350487947	1081.0	7026.7	fem_resp
13	Spectrogram 1	1	241.955827735	244.281023460	956.3	4448.8	PB_trill
14	Spectrogram 1	1	245.219506072	245.793801401	1247.3	3492.5	PB_fem call
15	Spectrogram 1	1	281.603371522	282.219688461	1122.6	6652.5	fem_resp
16	Spectrogram 1	1	301.931377618	304.326609359	1081.0	4033.1	PB_trill
17	Spectrogram 1	1	305.335127986	305.755344081	1039.4	3409.4	PB_fem call
18	Spectrogram 1	1	336.674237580	337.304561722	956.3	6527.7	fem_resp
19	Spectrogram 1	1	362.003367816	364.356577947	748.4	4240.9	PB_trill
20	Spectrogram 1	1	365.295060559	365.799319872	1288.9	3534.1	PB_fem call
