Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Name
1	Spectrogram 1	1	8.044197099	8.323799584	727.3	3954.7	PB_courtship
2	Spectrogram 1	1	38.123676812	38.298428365	1091.0	6727.6	fem_resp
3	Spectrogram 1	1	67.531182951	67.887676119	727.3	3227.4	PB_courtship
4	Spectrogram 1	1	89.188933243	89.321744423	1272.8	6636.7	fem_resp
5	Spectrogram 1	1	115.270094737	115.409895979	1091.0	7000.4	fem_resp
6	Spectrogram 1	1	127.108739596	127.381352018	772.8	3227.4	PB_courtship
7	Spectrogram 1	1	154.629511356	154.762322537	1181.9	6909.4	fem_resp
8	Spectrogram 1	1	176.936748898	177.097520326	1000.1	6409.4	fem_resp
9	Spectrogram 1	1	186.616122821	186.888735244	727.3	3045.6	PB_courtship
10	Spectrogram 1	1	199.244581100	199.391372405	1000.1	4363.9	fem_resp
11	Spectrogram 1	1	218.225231864	218.406973480	954.6	7773.1	fem_resp
12	Spectrogram 1	1	245.746258024	245.879069204	500.0	5454.8	fem_resp
13	Spectrogram 1	1	246.074790944	246.361383491	454.6	3136.5	PB_courtship
14	Spectrogram 1	1	264.377672346	264.496503402	818.2	7545.8	fem_resp
15	Spectrogram 1	1	284.001372027	284.134183207	818.2	7500.4	fem_resp
16	Spectrogram 1	1	305.686885635	305.875617313	181.8	3136.5	PB_courtship
17	Spectrogram 1	1	319.482101894	319.607923012	636.4	7136.7	fem_resp
18	Spectrogram 1	1	340.573651021	340.706462201	727.3	7227.6	fem_resp
19	Spectrogram 1	1	353.991555657	354.103396651	818.2	5954.8	fem_resp
20	Spectrogram 1	1	365.187330132	365.369071747	318.2	3682.0	PB_courtship
