Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Name
1	Spectrogram 1	1	4.004203003	6.056002060	428.8	4209.8	PB_trill
2	Spectrogram 1	1	7.362337791	7.504330805	1052.4	2377.7	PB_fem call
3	Spectrogram 1	1	22.729141738	22.906633006	1169.4	7523.0	fem_resp
4	Spectrogram 1	1	36.108557955	36.243451318	662.6	7445.0	fem_resp
5	Spectrogram 1	1	52.477213542	52.590807953	935.5	6509.5	fem_resp
6	Spectrogram 1	1	64.103669040	66.127069494	311.8	4287.7	PB_trill
7	Spectrogram 1	1	67.433405225	67.582497890	1091.4	3352.2	PB_fem call
8	Spectrogram 1	1	72.515301240	72.671493555	1130.4	5106.3	fem_resp
9	Spectrogram 1	1	78.647939330	78.775733043	740.6	5262.2	fem_resp
10	Spectrogram 1	1	96.847500797	96.975294510	701.6	5223.2	fem_resp
11	Spectrogram 1	1	109.388930179	109.452827035	1052.4	4131.8	fem_resp
12	Spectrogram 1	1	124.160755881	126.148658081	389.8	4170.8	PB_trill
13	Spectrogram 1	1	127.490492066	127.604086477	935.5	3664.1	PB_fem call
14	Spectrogram 1	1	169.496229044	169.638222059	818.6	4872.4	fem_resp
15	Spectrogram 1	1	184.103952546	186.205449158	272.9	4131.8	PB_trill
16	Spectrogram 1	1	187.539308662	187.667102375	701.6	3547.1	PB_fem call
17	Spectrogram 1	1	206.683721430	206.854113047	701.6	4638.5	fem_resp
18	Spectrogram 1	1	225.152561383	225.259056143	545.7	4248.7	fem_resp
19	Spectrogram 1	1	244.154235499	246.220233857	194.9	3975.9	PB_trill
20	Spectrogram 1	1	247.526569589	247.689861555	896.5	3508.1	PB_fem call
21	Spectrogram 1	1	255.234449078	255.312545236	896.5	4404.7	fem_resp
22	Spectrogram 1	1	304.090126265	306.305217288	155.9	4170.8	PB_trill
23	Spectrogram 1	1	307.590254068	307.710948130	857.5	3664.1	PB_fem call
24	Spectrogram 1	1	341.923301589	342.093693206	1052.4	6431.6	fem_resp
25	Spectrogram 1	1	361.606631688	361.734425401	896.5	6392.6	fem_resp
26	Spectrogram 1	1	364.240010577	366.298909284	350.8	3975.9	PB_trill
27	Spectrogram 1	1	367.612344666	367.775636633	935.5	3858.9	PB_fem call
