Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Name
1	Spectrogram 1	1	44.399934858	44.463464811	996.1	3203.1	PB_fem call
2	Spectrogram 1	1	45.004645893	45.334060465	390.6	3359.4	PB_courtship
3	Spectrogram 1	1	54.464006945	54.529889859	658.9	5060.2	fem_resp
4	Spectrogram 1	1	71.424877658	71.500172417	632.5	5113.0	fem_resp
5	Spectrogram 1	1	95.958087535	96.021617488	790.7	5271.1	fem_resp
6	Spectrogram 1	1	104.100512297	104.161689288	878.9	3339.8	PB_fem call
7	Spectrogram 1	1	104.695811486	104.999343484	625.0	3437.5	PB_courtship
8	Spectrogram 1	1	121.030794344	121.101383181	685.2	4928.5	fem_resp
9	Spectrogram 1	1	127.924303900	127.994892737	474.4	5113.0	fem_resp
10	Spectrogram 1	1	142.245926959	142.309456912	922.4	5060.2	fem_resp
11	Spectrogram 1	1	156.556506868	156.629448666	632.5	5350.2	fem_resp
12	Spectrogram 1	1	163.794940329	163.858470282	898.4	3222.7	PB_fem call
13	Spectrogram 1	1	164.390239519	164.700830401	605.5	3535.2	PB_courtship
14	Spectrogram 1	1	166.802666278	166.868549192	1133.3	3558.0	fem_resp
15	Spectrogram 1	1	185.745158490	185.813394365	1027.9	3637.0	fem_resp
16	Spectrogram 1	1	200.222076990	200.292665826	1054.2	3452.6	fem_resp
17	Spectrogram 1	1	213.904416252	213.975005089	817.0	3689.8	fem_resp
18	Spectrogram 1	1	223.484474788	223.548004741	996.1	3222.7	PB_fem call
19	Spectrogram 1	1	224.079773978	224.399776704	585.9	3437.5	PB_courtship
20	Spectrogram 1	1	240.727245052	240.793127966	1106.9	3505.3	fem_resp
21	Spectrogram 1	1	279.172181573	279.238064487	948.8	3716.1	fem_resp
22	Spectrogram 1	1	283.183421091	283.246951044	742.2	3222.7	PB_fem call
23	Spectrogram 1	1	283.776367320	284.098723008	585.9	3242.2	PB_courtship
24	Spectrogram 1	1	320.070294329	320.140883166	817.0	3847.9	fem_resp
25	Spectrogram 1	1	338.119142606	338.182672559	922.4	3768.8	fem_resp
26	Spectrogram 1	1	342.879773750	342.940950742	859.4	3242.2	PB_fem call
27	Spectrogram 1	1	343.472719979	343.795075667	293.0	3378.9	PB_courtship
