Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Name
1	Spectrogram 1	1	7.271149881	9.793246150	822.4	2981.3	PB_trill
2	Spectrogram 1	1	36.235010363	36.404938835	891.0	3940.8	fem_resp
3	Spectrogram 1	1	55.821508419	55.955662476	1130.8	3598.1	fem_resp
4	Spectrogram 1	1	67.331923029	69.701978033	993.8	2878.5	PB_trill
5	Spectrogram 1	1	89.798254893	89.914521742	993.8	3529.6	fem_resp
6	Spectrogram 1	1	112.072309339	112.304843037	891.0	3323.9	fem_resp
7	Spectrogram 1	1	125.867807745	126.010905406	1130.8	3461.0	fem_resp
8	Spectrogram 1	1	127.392703801	129.771702409	959.5	2912.7	PB_trill
9	Spectrogram 1	1	149.966353312	150.100507369	1165.1	3289.7	fem_resp
10	Spectrogram 1	1	165.519272542	165.671313806	1130.8	3289.7	fem_resp
11	Spectrogram 1	1	187.538441012	189.810116375	891.0	2741.4	PB_trill
12	Spectrogram 1	1	205.497181556	205.649222821	1233.6	3769.4	fem_resp
13	Spectrogram 1	1	222.677847873	222.829889138	1130.8	3426.7	fem_resp
14	Spectrogram 1	1	239.939004838	240.082102499	1130.8	3495.3	fem_resp
15	Spectrogram 1	1	247.536599762	249.897711163	891.0	2878.5	PB_trill
16	Spectrogram 1	1	271.603841822	271.720108672	1028.0	3289.7	fem_resp
17	Spectrogram 1	1	284.022018581	284.138285430	993.8	3323.9	fem_resp
18	Spectrogram 1	1	289.991891904	290.179707583	1062.3	3221.1	fem_resp
19	Spectrogram 1	1	301.010405454	301.260826360	1130.8	3529.6	fem_resp
20	Spectrogram 1	1	307.512423270	309.900365482	1096.6	3049.8	PB_trill
21	Spectrogram 1	1	330.908891474	331.043045531	1267.9	3700.9	fem_resp
22	Spectrogram 1	1	345.348331620	345.545090903	1165.1	3358.2	fem_resp
