Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Name
1	Spectrogram 1	1	2.638138913	4.948784719	856.900	4141.500	PB_trill
2	Spectrogram 1	1	55.178045374	55.805740495	991.500	8947.500	fem_resp
3	Spectrogram 1	1	62.614865625	64.998287677	1095.900	4250.600	PB_trill
4	Spectrogram 1	1	95.232274076	95.750804828	1195.500	7106.500	fem_resp
5	Spectrogram 1	1	122.659819647	125.070532792	1029.400	4184.200	PB_trill
6	Spectrogram 1	1	175.950221151	176.550625180	984.400	7087.500	fem_resp
7	Spectrogram 1	1	182.732058823	185.060898691	866.200	4095.000	PB_trill
8	Spectrogram 1	1	242.767917631	245.142242653	787.500	4410.000	PB_trill
9	Spectrogram 1	1	302.799232955	305.182655007	826.900	4331.200	PB_trill
10	Spectrogram 1	1	362.816893580	365.218509693	630.000	4213.100	PB_trill
