Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Name
1	Spectrogram 1	1	3.838248294	4.062121922	999.400	6121.500	PB_fem call
2	Spectrogram 1	1	18.833620422	19.080338298	812.000	5434.400	PB_fem call
3	Spectrogram 1	1	33.856920993	34.053381524	1249.300	5746.700	PB_fem call
4	Spectrogram 1	1	48.893831663	49.094861043	1061.900	5559.300	PB_fem call
5	Spectrogram 1	1	63.893869795	64.081192626	937.000	6496.300	PB_fem call
6	Spectrogram 1	1	78.916964791	79.095149923	1061.900	6246.500	PB_fem call
7	Spectrogram 1	1	88.706243253	88.952961129	749.600	14117.000	fem_resp
8	Spectrogram 1	1	93.934769313	94.195193738	1311.800	5372.000	PB_fem call
9	Spectrogram 1	1	108.944264069	109.277790086	1124.400	6059.100	PB_fem call
10	Spectrogram 1	1	123.967364698	124.204944875	999.400	5559.300	PB_fem call
11	Spectrogram 1	1	138.971764697	139.232189121	1124.400	5934.100	PB_fem call
12	Spectrogram 1	1	153.995167351	154.310417970	1061.900	5746.700	PB_fem call
13	Spectrogram 1	1	168.981202543	169.333003958	999.400	5496.900	PB_fem call
14	Spectrogram 1	1	184.008860755	184.310404826	937.000	5746.700	PB_fem call
15	Spectrogram 1	1	199.032263409	199.342945179	999.400	5496.900	PB_fem call
16	Spectrogram 1	1	210.137902083	210.434877304	1186.800	15678.600	fem_resp
17	Spectrogram 1	1	214.036271975	214.456606134	1061.900	6308.900	PB_fem call
18	Spectrogram 1	1	229.073269236	229.452483749	874.500	5809.200	fem_resp
19	Spectrogram 1	1	244.078105734	244.443613698	1061.900	6059.100	PB_fem call
20	Spectrogram 1	1	259.105137364	259.406681434	937.000	5621.800	PB_fem call
21	Spectrogram 1	1	274.123232644	274.420207865	687.100	5372.000	PB_fem call
22	Spectrogram 1	1	289.164396055	289.447664727	812.000	5496.900	PB_fem call
23	Spectrogram 1	1	292.912821844	293.333156003	1249.300	15616.100	fem_resp
24	Spectrogram 1	1	304.151247913	304.448223134	1249.300	5621.800	PB_fem call
25	Spectrogram 1	1	319.179040600	319.503428919	1061.900	5684.300	PB_fem call
26	Spectrogram 1	1	334.210529138	334.507504359	812.000	5559.300	PB_fem call
27	Spectrogram 1	1	349.206115995	349.576192809	1249.300	6308.900	PB_fem call
28	Spectrogram 1	1	364.219978251	364.558073118	1124.400	5746.700	PB_fem call
