Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Name
1	Spectrogram 1	1	3.482206828	3.907731084	1147.7	3373.6	PB_fem call
2	Spectrogram 1	1	4.141769425	4.780055809	939.0	3060.6	PB_courtship
3	Spectrogram 1	1	26.788742111	27.235542580	939.0	7129.7	fem_resp
4	Spectrogram 1	1	45.663610067	46.117502607	939.0	8660.0	fem_resp
5	Spectrogram 1	1	62.957158457	63.361406500	1112.9	3547.5	PB_fem call
6	Spectrogram 1	1	63.559984486	64.340112289	869.5	3164.9	PB_courtship
7	Spectrogram 1	1	122.425904356	122.872704825	1043.4	3408.4	PB_fem call
8	Spectrogram 1	1	123.042914527	123.709569195	904.3	3095.3	PB_courtship
9	Spectrogram 1	1	155.701848131	156.169924813	1182.5	7894.9	fem_resp
10	Spectrogram 1	1	181.837181292	182.326534187	1078.2	3373.6	PB_fem call
11	Spectrogram 1	1	182.510928031	183.262687550	834.7	3025.8	PB_courtship
12	Spectrogram 1	1	241.355328323	241.731208082	1217.3	3234.5	PB_fem call
13	Spectrogram 1	1	242.014890920	242.667361446	973.8	3025.8	PB_courtship
14	Spectrogram 1	1	274.134891661	274.602968342	1147.7	8416.6	fem_resp
15	Spectrogram 1	1	288.401169161	288.855061701	1252.1	7025.4	fem_resp
16	Spectrogram 1	1	300.795268990	301.256253601	1182.5	3512.7	PB_fem call
17	Spectrogram 1	1	301.433555374	302.164038680	1078.2	3025.8	PB_courtship
18	Spectrogram 1	1	360.306040948	360.738657275	1252.1	3304.0	PB_fem call
19	Spectrogram 1	1	360.937235261	361.596797858	1008.6	3095.3	PB_courtship
