Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Name
1	Spectrogram 1	1	1.622058582	2.011352642	651.1	3255.4	PB_courtship
2	Spectrogram 1	1	2.523923154	2.640711372	846.4	5033.9	fem_resp
3	Spectrogram 1	1	37.715061113	37.896731675	1024.6	6013.9	fem_resp
4	Spectrogram 1	1	47.866349623	48.009090778	1247.3	3474.7	PB_fem call
5	Spectrogram 1	1	48.541125993	48.885002413	534.6	3341.1	PB_courtship
6	Spectrogram 1	1	107.312392978	107.455134133	757.3	3207.4	PB_fem call
7	Spectrogram 1	1	107.974192879	108.311581064	712.8	3207.4	PB_courtship
8	Spectrogram 1	1	166.828810393	166.965063314	1202.8	3073.8	PB_fem call
9	Spectrogram 1	1	167.458169123	167.840974949	445.5	3430.2	PB_courtship
10	Spectrogram 1	1	226.274138909	226.416880065	891.0	3252.0	PB_fem call
11	Spectrogram 1	1	226.877544702	227.266838762	400.9	3430.2	PB_courtship
12	Spectrogram 1	1	255.659562566	255.795815487	757.3	7439.5	fem_resp
13	Spectrogram 1	1	285.686662770	285.861845097	935.5	3385.6	PB_fem call
14	Spectrogram 1	1	286.374415609	286.744244966	267.3	3207.4	PB_courtship
15	Spectrogram 1	1	345.158262164	345.301003319	891.0	3474.7	PB_fem call
16	Spectrogram 1	1	345.820062065	346.137985548	579.1	3029.2	PB_courtship
