Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Name
1	Spectrogram 1	1	13.256875958	13.651856623	1135.4	4720.7	PB_fem call
2	Spectrogram 1	1	28.270863986	28.730876820	1075.6	3704.9	PB_fem call
3	Spectrogram 1	1	43.346136735	43.753576674	1015.9	3525.6	PB_fem call
4	Spectrogram 1	1	58.342550686	58.815706744	1015.9	3645.1	PB_fem call
5	Spectrogram 1	1	73.378395521	73.785835460	1254.9	3525.6	PB_fem call
6	Spectrogram 1	1	88.440525052	88.874251439	1135.4	3585.4	PB_fem call
7	Spectrogram 1	1	103.463225684	103.975811413	956.1	3585.4	PB_fem call
8	Spectrogram 1	1	117.736763526	118.341351823	1195.1	5198.8	fem_resp
9	Spectrogram 1	1	118.538500181	118.945940120	896.3	3585.4	PB_fem call
10	Spectrogram 1	1	133.587488522	134.034358133	1075.6	3764.6	PB_fem call
11	Spectrogram 1	1	148.557617005	149.017629840	1015.9	3764.6	PB_fem call
12	Spectrogram 1	1	162.528860574	163.094019200	1195.1	4780.5	fem_resp
13	Spectrogram 1	1	163.632891377	164.014044869	1015.9	3645.1	PB_fem call
14	Spectrogram 1	1	178.708166131	179.102462846	1135.4	3406.1	PB_fem call
15	Spectrogram 1	1	193.665151784	194.204023962	1015.9	3764.6	PB_fem call
16	Spectrogram 1	1	208.727282318	209.279297719	1015.9	3525.6	PB_fem call
17	Spectrogram 1	1	223.736841185	224.262570139	1075.6	3764.6	PB_fem call
18	Spectrogram 1	1	234.080556279	234.724574247	1254.9	5258.5	fem_resp
19	Spectrogram 1	1	238.877832981	239.298416144	1015.9	3525.6	PB_fem call
20	Spectrogram 1	1	253.848597293	254.308610128	1195.1	3525.6	PB_fem call
21	Spectrogram 1	1	268.910728468	269.331311631	1015.9	3704.9	PB_fem call
22	Spectrogram 1	1	283.933429994	284.340869933	1015.9	3465.9	PB_fem call
23	Spectrogram 1	1	299.008704464	299.468717299	1075.6	3764.6	PB_fem call
24	Spectrogram 1	1	303.753408272	304.239707554	1314.6	4003.7	fem_resp
25	Spectrogram 1	1	314.018262303	314.504561585	956.1	3525.6	PB_fem call
26	Spectrogram 1	1	329.067248544	329.514118155	1075.6	3286.6	PB_fem call
27	Spectrogram 1	1	344.076804292	344.563103575	1254.9	3406.1	PB_fem call
28	Spectrogram 1	1	359.152078185	359.546374900	1015.9	3525.6	PB_fem call
29	Spectrogram 1	1	374.174781177	374.595364340	1015.9	3525.6	PB_fem call
