Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Name
1	Spectrogram 1	1	1.808434688	2.118067426	1209.2	3556.5	PB_fem call
2	Spectrogram 1	1	16.828367786	17.142487955	1280.3	3414.2	PB_fem call
3	Spectrogram 1	1	31.871350690	32.203420583	1387.0	3165.2	PB_fem call
4	Spectrogram 1	1	46.904746082	47.214378820	1244.8	3378.6	PB_fem call
5	Spectrogram 1	1	61.943032727	62.239203172	1173.6	3343.1	PB_fem call
6	Spectrogram 1	1	76.971841807	77.236600235	1102.5	3378.6	PB_fem call
7	Spectrogram 1	1	91.978719202	92.324251388	1280.3	3343.1	PB_fem call
8	Spectrogram 1	1	107.016200968	107.289934258	1280.3	3271.9	PB_fem call
9	Spectrogram 1	1	122.050299591	122.315058020	1138.1	3449.8	PB_fem call
10	Spectrogram 1	1	137.069936048	137.330207045	1280.3	3414.2	PB_fem call
11	Spectrogram 1	1	152.085579477	152.363800198	1138.1	3378.6	PB_fem call
12	Spectrogram 1	1	167.119282577	167.410965591	1280.3	3307.5	PB_fem call
13	Spectrogram 1	1	182.134937072	182.426620086	1351.5	3343.1	PB_fem call
14	Spectrogram 1	1	197.136810500	197.437468376	1031.4	3236.4	PB_fem call
15	Spectrogram 1	1	212.166223931	212.453419514	1031.4	3414.2	PB_fem call
16	Spectrogram 1	1	227.172101451	227.486221620	1031.4	3414.2	PB_fem call
17	Spectrogram 1	1	242.192649967	242.475358119	1138.1	3485.3	PB_fem call
18	Spectrogram 1	1	257.208601105	257.491309257	1244.8	3698.7	PB_fem call
19	Spectrogram 1	1	272.228006601	272.492765029	1209.2	3520.9	PB_fem call
20	Spectrogram 1	1	287.243364454	287.575434347	1351.5	3520.9	PB_fem call
21	Spectrogram 1	1	302.265958923	302.651877988	1315.9	3627.6	PB_fem call
22	Spectrogram 1	1	317.310660707	317.602343721	995.8	3520.9	PB_fem call
23	Spectrogram 1	1	332.317834745	332.636442345	1280.3	3520.9	PB_fem call
24	Spectrogram 1	1	347.328485273	347.665042597	1138.1	3698.7	PB_fem call
25	Spectrogram 1	1	362.367093459	362.685701059	1138.1	3592.0	PB_fem call
