Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Name
1	Spectrogram 1	1	2.773673651	3.188342469	1308.5	5282.3	PB_fem call
2	Spectrogram 1	1	3.510862661	3.980820655	436.2	4119.2	PB_courtship
3	Spectrogram 1	1	59.306856300	59.859748058	1163.1	5863.8	fem_resp
4	Spectrogram 1	1	61.942307012	62.310901517	1044.8	5553.7	PB_fem call
5	Spectrogram 1	1	62.605777121	63.066520252	714.8	4124.1	PB_courtship
6	Spectrogram 1	1	113.651511836	114.038536066	1154.7	5993.6	fem_resp
7	Spectrogram 1	1	121.028009299	121.507182156	1099.8	5663.7	PB_fem call
8	Spectrogram 1	1	121.811272623	122.198296853	659.9	3409.2	PB_courtship
9	Spectrogram 1	1	180.192045350	180.606714168	1044.8	5443.8	PB_fem call
10	Spectrogram 1	1	180.938449223	181.389977492	494.9	3739.2	PB_courtship
11	Spectrogram 1	1	227.132539442	227.740720375	934.8	5938.7	fem_resp
12	Spectrogram 1	1	239.351457337	239.775341018	989.8	5663.7	PB_fem call
13	Spectrogram 1	1	240.051786897	240.466455715	549.9	3904.1	PB_courtship
14	Spectrogram 1	1	298.483240449	298.916338993	934.8	5443.8	PB_fem call
15	Spectrogram 1	1	299.229644322	299.690387453	494.9	3849.1	PB_courtship
16	Spectrogram 1	1	329.657118597	330.099432004	879.8	5993.6	fem_resp
17	Spectrogram 1	1	357.601180954	358.052709223	1374.7	5388.8	PB_fem call
18	Spectrogram 1	1	358.310725376	358.789898233	824.8	3464.2	PB_courtship
