Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Name
1	Spectrogram 1	1	2.555256373	2.618515436	760.781	3377.125	PB_fem call
2	Spectrogram 1	1	17.597922668	17.656008002	770.168	4111.912	PB_fem call
3	Spectrogram 1	1	32.631771525	32.699162894	840.700	3337.400	PB_fem call
4	Spectrogram 1	1	34.510874824	34.568250191	594.500	4954.000	fem_resp
5	Spectrogram 1	1	47.678923343	47.739241037	864.700	3314.700	PB_fem call
6	Spectrogram 1	1	62.718559319	62.778877012	940.100	3247.700	PB_fem call
7	Spectrogram 1	1	64.769026549	64.829344243	790.600	3568.200	fem_resp
8	Spectrogram 1	1	77.756322763	77.815169293	1046.900	3290.400	PB_fem call
9	Spectrogram 1	1	83.562803824	83.626063844	726.500	3867.300	fem_resp
10	Spectrogram 1	1	92.800171635	92.857547002	918.700	1837.500	PB_fem call
11	Spectrogram 1	1	107.836464097	107.896781791	833.300	1730.700	PB_fem call
12	Spectrogram 1	1	117.921890738	117.983679595	918.700	3546.800	fem_resp
13	Spectrogram 1	1	122.874628909	122.936417766	876.000	1837.500	PB_fem call
14	Spectrogram 1	1	137.916806025	137.978594882	833.300	1816.100	PB_fem call
15	Spectrogram 1	1	141.863669712	141.921045079	641.000	3525.400	fem_resp
16	Spectrogram 1	1	152.958003835	153.016258928	811.900	1837.500	PB_fem call
17	Spectrogram 1	1	162.856337119	162.916672751	576.900	3482.700	fem_resp
18	Spectrogram 1	1	167.996797069	168.051931354	982.800	1837.500	PB_fem call
19	Spectrogram 1	1	183.038246342	183.098581974	918.700	1794.800	PB_fem call
20	Spectrogram 1	1	191.116561085	191.168574561	641.000	3440.000	fem_resp
21	Spectrogram 1	1	198.078887548	198.134021832	811.900	1858.900	PB_fem call
22	Spectrogram 1	1	210.530286451	210.583340196	555.500	3781.800	fem_resp
23	Spectrogram 1	1	213.119761321	213.178016414	940.100	1794.800	PB_fem call
24	Spectrogram 1	1	228.161675546	228.215769561	982.800	1730.700	PB_fem call
25	Spectrogram 1	1	241.422869086	241.499849030	512.800	3803.200	fem_resp
26	Spectrogram 1	1	243.198963558	243.256178382	747.800	1858.900	PB_fem call
27	Spectrogram 1	1	258.239605128	258.296819952	662.400	1837.500	PB_fem call
28	Spectrogram 1	1	264.673474676	264.724447883	555.500	3504.100	fem_resp
29	Spectrogram 1	1	273.281286786	273.336421070	705.100	1858.900	PB_fem call
30	Spectrogram 1	1	288.319615068	288.372668814	940.100	1816.100	PB_fem call
31	Spectrogram 1	1	303.360721590	303.415855875	918.700	1858.900	PB_fem call
32	Spectrogram 1	1	304.170980998	304.222994474	470.100	3610.900	fem_resp
33	Spectrogram 1	1	318.399282439	318.456497263	940.100	1794.800	PB_fem call
34	Spectrogram 1	1	330.221661034	330.286157745	747.800	3546.800	fem_resp
35	Spectrogram 1	1	333.440731348	333.495865633	918.700	1858.900	PB_fem call
36	Spectrogram 1	1	348.482413188	348.536507203	879.400	1844.600	PB_fem call
37	Spectrogram 1	1	350.778532054	350.833666338	429.000	3474.800	fem_resp
38	Spectrogram 1	1	363.518637641	363.574898324	928.900	1857.800	PB_fem call
