Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Name
1	Spectrogram 1	1	4.683275060	5.388974041	713.3	3515.8	PB_courtship
2	Spectrogram 1	1	63.894503565	64.792665906	866.2	3108.2	PB_courtship
3	Spectrogram 1	1	105.588959480	106.127856884	1070.0	8101.6	fem_resp
4	Spectrogram 1	1	121.886401704	122.322651984	968.1	6776.8	fem_resp
5	Spectrogram 1	1	123.323461449	124.003498649	1070.0	2955.3	PB_courtship
6	Spectrogram 1	1	182.650866304	183.356565285	866.2	3057.2	PB_courtship
7	Spectrogram 1	1	229.208026114	229.734092628	800.8	7536.8	fem_resp
8	Spectrogram 1	1	242.041380986	242.708587295	895.0	2967.6	PB_courtship
9	Spectrogram 1	1	297.236127727	297.800686912	659.5	6641.8	fem_resp
10	Spectrogram 1	1	301.367674492	302.137527927	753.7	3061.8	PB_courtship
11	Spectrogram 1	1	355.664238177	356.177473800	1036.3	6453.4	fem_resp
12	Spectrogram 1	1	360.707790580	361.477644015	800.8	3250.2	PB_courtship
