Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Name
1	Spectrogram 1	1	0.037677180	0.690748297	147.0	3160.5	PB_courtship
2	Spectrogram 1	1	58.835148952	59.211920750	1055.4	3502.1	PB_fem call
3	Spectrogram 1	1	59.563574429	60.166409307	863.5	3502.1	PB_courtship
4	Spectrogram 1	1	118.422764764	118.849033394	959.5	3694.0	PB_fem call
5	Spectrogram 1	1	119.213137849	119.799257215	1007.5	3742.0	PB_courtship
6	Spectrogram 1	1	168.629207501	168.957789570	815.6	6812.4	fem_resp
7	Spectrogram 1	1	177.953841696	178.326826747	959.5	3598.1	PB_fem call
8	Spectrogram 1	1	178.726453587	179.348095340	863.5	3742.0	PB_courtship
9	Spectrogram 1	1	237.511569761	237.857913023	1007.5	3502.1	PB_fem call
10	Spectrogram 1	1	238.248659267	238.808136844	1007.5	3790.0	PB_courtship
11	Spectrogram 1	1	297.051506826	297.477775456	1151.4	3214.3	PB_fem call
12	Spectrogram 1	1	297.770835139	298.516805242	1199.4	3694.0	PB_courtship
13	Spectrogram 1	1	356.604808372	357.004435213	1199.4	3502.1	PB_fem call
14	Spectrogram 1	1	357.315256089	357.963539630	959.5	3742.0	PB_courtship
