Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Name
1	Spectrogram 1	1	0.140261937	0.213198144	710.3	4262.0	fem_resp
2	Spectrogram 1	1	0.656425866	0.716270959	816.9	4475.1	PB_fem call
3	Spectrogram 1	1	15.675334231	15.737049484	781.4	4581.6	PB_fem call
4	Spectrogram 1	1	17.169591401	17.233176813	710.3	4510.6	fem_resp
5	Spectrogram 1	1	30.693096249	30.752941343	603.8	4972.3	PB_fem call
6	Spectrogram 1	1	40.066408214	40.135604103	603.8	4404.0	fem_resp
7	Spectrogram 1	1	45.706394137	45.768109390	710.3	5078.8	PB_fem call
8	Spectrogram 1	1	60.722285996	60.782131089	568.3	4972.3	PB_fem call
9	Spectrogram 1	1	72.593228333	72.664294381	745.8	4972.3	fem_resp
10	Spectrogram 1	1	75.740771631	75.800616724	745.8	5078.8	PB_fem call
11	Spectrogram 1	1	89.157855863	89.223311433	816.9	4865.7	fem_resp
12	Spectrogram 1	1	90.756841946	90.818557198	816.9	4972.3	PB_fem call
13	Spectrogram 1	1	103.526249726	103.595445615	674.8	5789.2	fem_resp
14	Spectrogram 1	1	105.776051197	105.834026131	710.3	5647.1	PB_fem call
15	Spectrogram 1	1	120.791463519	120.851308612	745.8	5043.3	PB_fem call
16	Spectrogram 1	1	129.416890470	129.484216200	603.8	4759.2	fem_resp
17	Spectrogram 1	1	135.808802416	135.868647510	710.3	4936.8	PB_fem call
18	Spectrogram 1	1	146.852711478	146.914426730	781.4	3587.2	fem_resp
19	Spectrogram 1	1	150.825539932	150.887255184	674.8	5043.3	PB_fem call
20	Spectrogram 1	1	158.234517771	158.296233024	816.9	3409.6	fem_resp
21	Spectrogram 1	1	165.839862323	165.901577575	781.4	4936.8	PB_fem call
22	Spectrogram 1	1	175.939341008	176.002926419	390.7	4936.8	fem_resp
23	Spectrogram 1	1	180.860640847	180.920485940	745.8	5007.8	PB_fem call
24	Spectrogram 1	1	195.877589765	195.931824381	390.7	4936.8	PB_fem call
25	Spectrogram 1	1	198.101875819	198.165461230	781.4	4865.7	fem_resp
26	Spectrogram 1	1	208.937896327	209.001481739	745.8	4581.6	fem_resp
27	Spectrogram 1	1	210.889740915	210.953326327	745.8	4936.8	PB_fem call
28	Spectrogram 1	1	218.902902204	218.972098093	816.9	4901.3	fem_resp
29	Spectrogram 1	1	225.906779122	225.970364533	674.8	5114.4	PB_fem call
30	Spectrogram 1	1	240.925687487	240.987402740	568.3	5043.3	PB_fem call
31	Spectrogram 1	1	255.942302963	256.002148056	639.3	3516.1	PB_fem call
32	Spectrogram 1	1	270.959341169	271.022926581	745.8	3338.5	PB_fem call
33	Spectrogram 1	1	285.978127300	286.037972393	603.8	3800.3	PB_fem call
34	Spectrogram 1	1	301.013143481	301.074858733	923.4	4368.5	PB_fem call
35	Spectrogram 1	1	316.056363915	316.114338849	816.9	4119.9	PB_fem call
36	Spectrogram 1	1	331.096144527	331.154119461	745.8	3835.8	PB_fem call
37	Spectrogram 1	1	346.135145107	346.194990200	816.9	3516.1	PB_fem call
38	Spectrogram 1	1	347.171213282	347.232928535	887.9	3267.5	fem_resp
39	Spectrogram 1	1	361.178967118	361.235071893	781.4	3516.1	PB_fem call
