Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Name
1	Spectrogram 1	1	4.156799793	4.294138993	1028.0	1919.0	PB_fem call
2	Spectrogram 1	1	5.026614728	5.383696648	616.8	2672.9	PB_courtship
3	Spectrogram 1	1	33.556546627	33.703041774	797.5	4785.2	fem_resp
4	Spectrogram 1	1	54.354281379	54.509932472	917.2	5542.8	fem_resp
5	Spectrogram 1	1	63.716230813	63.798634333	1156.4	3628.8	PB_fem call
6	Spectrogram 1	1	64.457862494	64.906503881	638.0	3708.5	PB_courtship
7	Spectrogram 1	1	86.390934880	86.555741920	757.7	5144.1	fem_resp
8	Spectrogram 1	1	117.049625051	117.186964251	837.4	6340.4	fem_resp
9	Spectrogram 1	1	123.216155071	123.371806165	1315.9	3309.7	PB_fem call
10	Spectrogram 1	1	124.095125952	124.433895980	558.3	3708.5	PB_courtship
11	Spectrogram 1	1	139.925761282	140.118036162	1076.7	6340.4	fem_resp
12	Spectrogram 1	1	155.834211609	155.980706756	996.9	4027.5	fem_resp
13	Spectrogram 1	1	171.124638278	171.252821531	677.9	4864.9	fem_resp
14	Spectrogram 1	1	182.761864302	182.917515396	1236.2	3150.2	PB_fem call
15	Spectrogram 1	1	183.247129476	183.375312730	917.2	5463.1	fem_resp
16	Spectrogram 1	1	183.521807877	183.988761157	558.3	3868.0	PB_courtship
17	Spectrogram 1	1	242.289244200	242.481519080	1076.7	3868.0	PB_fem call
18	Spectrogram 1	1	242.829445054	243.534452948	239.3	4705.4	PB_courtship
19	Spectrogram 1	1	256.659509760	256.842628693	917.2	5901.7	fem_resp
20	Spectrogram 1	1	265.430899227	265.549926534	1116.5	3668.6	fem_resp
22	Spectrogram 1	1	301.885305230	302.004332536	1187.4	2839.5	PB_fem call
23	Spectrogram 1	1	302.416350137	303.103046138	258.1	3459.1	PB_courtship
24	Spectrogram 1	1	333.281044291	333.455007278	671.2	7176.3	fem_resp
25	Spectrogram 1	1	361.595823821	361.751474915	1084.2	3355.8	PB_fem call
26	Spectrogram 1	1	362.209272249	362.749473103	361.4	3407.5	PB_courtship
27	Spectrogram 1	1	367.565494588	367.739457575	1032.6	5111.2	fem_resp
