Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Name
1	Spectrogram 1	1	4.357344587	4.538900612	1066.2	1914.2	PB_fem call
2	Spectrogram 1	1	6.209216037	6.399849863	1308.5	4385.8	fem_resp
3	Spectrogram 1	1	19.376567873	19.594435103	1211.5	1962.7	PB_fem call
4	Spectrogram 1	1	28.935493548	29.216903329	1429.6	3780.0	fem_resp
5	Spectrogram 1	1	34.391250027	34.663584063	1262.4	2272.3	PB_fem call
6	Spectrogram 1	1	35.907242831	36.106954458	1514.9	5021.6	fem_resp
7	Spectrogram 1	1	49.437705052	49.682805685	1122.1	2665.1	PB_fem call
8	Spectrogram 1	1	53.640727018	53.931216658	1206.3	5133.8	fem_resp
9	Spectrogram 1	1	64.515940242	64.724729670	1178.2	2328.4	PB_fem call
10	Spectrogram 1	1	70.570833658	70.779623087	1318.5	4656.9	fem_resp
11	Spectrogram 1	1	79.544236823	79.807493059	1094.1	2047.9	PB_fem call
12	Spectrogram 1	1	94.599771653	94.808561081	1234.4	1935.7	PB_fem call
13	Spectrogram 1	1	101.399041982	101.571520205	1290.5	3534.7	fem_resp
14	Spectrogram 1	1	109.628074161	109.918563800	1178.2	2440.6	PB_fem call
15	Spectrogram 1	1	124.701748871	124.919616100	1262.4	2047.9	PB_fem call
16	Spectrogram 1	1	128.069613125	128.305635957	1206.3	5105.7	fem_resp
17	Spectrogram 1	1	139.689202179	139.997847421	1178.2	2047.9	PB_fem call
18	Spectrogram 1	1	142.512398360	142.703032186	1150.2	4769.1	fem_resp
19	Spectrogram 1	1	154.717508801	154.971687235	1234.4	1991.8	PB_fem call
20	Spectrogram 1	1	169.741267875	169.977290707	1150.2	2216.2	PB_fem call
21	Spectrogram 1	1	184.733255552	185.014667390	1150.2	2104.0	PB_fem call
22	Spectrogram 1	1	199.757026480	200.047516119	1318.5	1963.7	PB_fem call
23	Spectrogram 1	1	205.230956446	205.457901477	1066.0	5105.7	fem_resp
24	Spectrogram 1	1	214.826156781	215.044024011	1262.4	2216.2	PB_fem call
25	Spectrogram 1	1	229.827232300	230.054177330	1122.1	2216.2	PB_fem call
26	Spectrogram 1	1	244.887306205	245.068862229	1150.2	2132.1	PB_fem call
27	Spectrogram 1	1	259.897472215	260.124417245	1318.5	2216.2	PB_fem call
28	Spectrogram 1	1	274.903052957	275.139075788	1178.2	2076.0	PB_fem call
29	Spectrogram 1	1	289.949511067	290.140144892	1290.5	2019.8	PB_fem call
30	Spectrogram 1	1	304.955139082	305.191161914	1234.4	2132.1	PB_fem call
31	Spectrogram 1	1	319.965280549	320.237614585	1206.3	2188.2	PB_fem call
32	Spectrogram 1	1	331.475919672	331.702864703	869.7	5274.0	fem_resp
33	Spectrogram 1	1	334.948194050	335.247761490	1318.5	1907.6	PB_fem call
34	Spectrogram 1	1	350.053647897	350.253359524	1150.2	2019.8	PB_fem call
35	Spectrogram 1	1	365.091028206	365.345206640	1262.4	1991.8	PB_fem call
