Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Name
1	Spectrogram 1	1	1.285897656	3.673993302	586.4	3870.5	PB_trill
2	Spectrogram 1	1	50.668807245	50.815355765	1078.1	5556.6	fem_resp
3	Spectrogram 1	1	61.304226950	63.655664562	580.5	3275.9	PB_trill
4	Spectrogram 1	1	93.671283203	93.837815612	912.3	5929.8	fem_resp
5	Spectrogram 1	1	121.355997278	123.727418780	331.7	3441.8	PB_trill
6	Spectrogram 1	1	181.375010284	183.853012528	248.8	3234.4	PB_trill
7	Spectrogram 1	1	226.182555881	226.295797919	870.8	5971.3	fem_resp
8	Spectrogram 1	1	241.446758658	243.778212381	539.1	3317.4	PB_trill
9	Spectrogram 1	1	301.492139347	303.863560849	497.6	3275.9	PB_trill
10	Spectrogram 1	1	361.497202459	363.908591739	539.1	3234.4	PB_trill
