Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Name
1	Spectrogram 1	1	1.596241310	4.301735055	884.9	4087.6	PB_trill
2	Spectrogram 1	1	4.896943678	5.392950865	1011.4	3202.6	PB_fem call
3	Spectrogram 1	1	47.102645690	47.634726126	1137.8	5857.4	fem_resp
4	Spectrogram 1	1	61.712319222	64.318611530	842.8	4719.7	PB_trill
5	Spectrogram 1	1	64.940875091	65.445900590	1053.5	3708.3	PB_fem call
6	Spectrogram 1	1	121.801336794	124.416647415	758.5	4719.7	PB_trill
7	Spectrogram 1	1	124.966764476	125.489826600	1095.6	3329.0	PB_fem call
8	Spectrogram 1	1	178.044036230	178.702373041	1306.3	5478.2	fem_resp
9	Spectrogram 1	1	181.773108858	184.496639228	842.8	3750.4	PB_trill
10	Spectrogram 1	1	185.019701352	185.488653601	1095.6	3286.9	PB_fem call
11	Spectrogram 1	1	241.853111962	244.414312707	632.1	4551.1	PB_trill
12	Spectrogram 1	1	245.036576268	245.541601768	969.2	3371.2	PB_fem call
13	Spectrogram 1	1	294.204410946	294.718454757	1306.3	6152.4	fem_resp
14	Spectrogram 1	1	301.892544851	304.580001971	842.8	4298.3	PB_trill
15	Spectrogram 1	1	305.085027470	305.635144531	1179.9	2359.8	PB_fem call
16	Spectrogram 1	1	361.886844617	364.655466549	1053.5	4382.5	PB_trill
17	Spectrogram 1	1	365.142455423	365.548279485	1137.8	3160.5	PB_fem call
