Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Name
1	Spectrogram 1	1	40.115760123	40.431520309	599.4	2922.1	PB_courtship
2	Spectrogram 1	1	99.405972985	99.606550210	574.4	2747.3	PB_courtship
3	Spectrogram 1	1	158.583632604	158.788181655	1024.0	2747.3	PB_courtship
4	Spectrogram 1	1	217.799744982	217.970533510	824.2	3047.0	PB_courtship
5	Spectrogram 1	1	277.009113977	277.169972940	424.6	2947.1	PB_courtship
6	Spectrogram 1	1	336.120487567	336.325036618	799.2	2972.0	PB_courtship
8	Spectrogram 1	1	6.423374393	6.489417891	699.3	4445.6	fem_resp
9	Spectrogram 1	1	34.689623783	34.756624433	849.2	4845.2	fem_resp
10	Spectrogram 1	1	65.816433023	65.879605065	749.3	4595.4	fem_resp
11	Spectrogram 1	1	97.363800069	97.430800719	924.1	4620.4	fem_resp
12	Spectrogram 1	1	128.904319507	128.960791483	774.2	4445.6	fem_resp
13	Spectrogram 1	1	142.861217593	142.926303939	999.0	4470.5	fem_resp
14	Spectrogram 1	1	164.653878896	164.729493915	974.0	4495.5	fem_resp
15	Spectrogram 1	1	186.136275530	186.207104788	799.2	4520.5	fem_resp
16	Spectrogram 1	1	213.913052077	213.980052727	974.0	4370.6	fem_resp
17	Spectrogram 1	1	238.945820613	239.009949807	824.2	4720.3	fem_resp
18	Spectrogram 1	1	262.227368888	262.299155298	924.1	4695.3	fem_resp
19	Spectrogram 1	1	275.263044995	275.328131340	899.1	4570.4	fem_resp
20	Spectrogram 1	1	290.907991639	290.977863745	974.0	4620.4	fem_resp
21	Spectrogram 1	1	315.608481175	315.674524673	974.0	4595.4	fem_resp
22	Spectrogram 1	1	334.485656858	334.556486117	799.2	3896.1	fem_resp
23	Spectrogram 1	1	353.298850722	353.366808524	774.2	4895.1	fem_resp
