Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Name
1	Waveform 1	1	16.613713141	16.669203508	914.3	3459.4	fem_resp
1	Spectrogram 1	1	16.613713141	16.669203508	914.3	3459.4	fem_resp
2	Waveform 1	1	36.752647560	36.813829246	749.4	3860.0	fem_resp
2	Spectrogram 1	1	36.752647560	36.813829246	749.4	3860.0	fem_resp
3	Waveform 1	1	44.560736572	46.712189507	456.0	4034.1	PB_trill
3	Spectrogram 1	1	44.560736572	46.712189507	456.0	4034.1	PB_trill
4	Waveform 1	1	67.389321009	67.450502695	796.5	3860.0	fem_resp
4	Spectrogram 1	1	67.389321009	67.450502695	796.5	3860.0	fem_resp
5	Waveform 1	1	80.857925969	80.926221804	820.1	3977.8	fem_resp
5	Spectrogram 1	1	80.857925969	80.926221804	820.1	3977.8	fem_resp
6	Waveform 1	1	93.551745618	93.614350134	796.5	3836.4	fem_resp
6	Spectrogram 1	1	93.551745618	93.614350134	796.5	3836.4	fem_resp
7	Waveform 1	1	104.607523539	106.756326901	385.9	3893.8	PB_trill
7	Spectrogram 1	1	104.607523539	106.756326901	385.9	3893.8	PB_trill
8	Waveform 1	1	120.547291739	120.605627765	820.1	3695.0	fem_resp
8	Spectrogram 1	1	120.547291739	120.605627765	820.1	3695.0	fem_resp
9	Waveform 1	1	133.405831250	133.469858596	843.6	3765.7	fem_resp
9	Spectrogram 1	1	133.405831250	133.469858596	843.6	3765.7	fem_resp
10	Waveform 1	1	146.184255204	146.249705380	725.8	3836.4	fem_resp
10	Spectrogram 1	1	146.184255204	146.249705380	725.8	3836.4	fem_resp
11	Waveform 1	1	157.335510233	157.400960409	749.4	3742.1	fem_resp
11	Spectrogram 1	1	157.335510233	157.400960409	749.4	3742.1	fem_resp
12	Waveform 1	1	164.620868997	166.774971505	350.8	3999.0	PB_trill
12	Spectrogram 1	1	164.620868997	166.774971505	350.8	3999.0	PB_trill
13	Waveform 1	1	183.443539073	183.507566419	702.2	3742.1	fem_resp
13	Spectrogram 1	1	183.443539073	183.507566419	702.2	3742.1	fem_resp
14	Waveform 1	1	196.068297397	196.130901913	867.2	3765.7	fem_resp
14	Spectrogram 1	1	196.068297397	196.130901913	867.2	3765.7	fem_resp
15	Waveform 1	1	218.942893752	219.004075438	961.5	3812.8	fem_resp
15	Spectrogram 1	1	218.942893752	219.004075438	961.5	3812.8	fem_resp
16	Waveform 1	1	224.680903838	226.816459337	526.2	4069.2	PB_trill
16	Spectrogram 1	1	224.680903838	226.816459337	526.2	4069.2	PB_trill
17	Waveform 1	1	243.785481046	243.848085562	843.6	3836.4	fem_resp
17	Spectrogram 1	1	243.785481046	243.848085562	843.6	3836.4	fem_resp
18	Waveform 1	1	256.718336295	256.783786471	914.3	3836.4	fem_resp
18	Spectrogram 1	1	256.718336295	256.783786471	914.3	3836.4	fem_resp
19	Waveform 1	1	268.285823322	268.352696328	796.5	3883.5	fem_resp
19	Spectrogram 1	1	268.285823322	268.352696328	796.5	3883.5	fem_resp
20	Waveform 1	1	282.008129088	282.069310774	1055.7	3883.5	fem_resp
20	Spectrogram 1	1	282.008129088	282.069310774	1055.7	3883.5	fem_resp
21	Waveform 1	1	284.713619629	286.870371709	315.7	4069.2	PB_trill
21	Spectrogram 1	1	284.713619629	286.870371709	315.7	4069.2	PB_trill
22	Waveform 1	1	305.922485525	305.985090041	937.9	3765.7	fem_resp
22	Spectrogram 1	1	305.922485525	305.985090041	937.9	3765.7	fem_resp
23	Waveform 1	1	322.351668034	322.412849720	985.0	3765.7	fem_resp
23	Spectrogram 1	1	322.351668034	322.412849720	985.0	3765.7	fem_resp
24	Waveform 1	1	336.423661375	336.483420231	890.8	3812.8	fem_resp
24	Spectrogram 1	1	336.423661375	336.483420231	890.8	3812.8	fem_resp
25	Waveform 1	1	344.749987916	346.912039141	420.9	4174.4	PB_trill
25	Spectrogram 1	1	344.749987916	346.912039141	420.9	4174.4	PB_trill
26	Waveform 1	1	369.264843935	369.326025622	985.0	3742.1	fem_resp
26	Spectrogram 1	1	369.264843935	369.326025622	985.0	3742.1	fem_resp
