Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Name
1	Waveform 1	1	1.317920439	3.342102642	445.3	3473.4	PB_trill
1	Spectrogram 1	1	1.317920439	3.342102642	445.3	3473.4	PB_trill
2	Waveform 1	1	4.709323868	4.776547632	843.6	3329.9	PB_fem call
2	Spectrogram 1	1	4.709323868	4.776547632	843.6	3329.9	PB_fem call
3	Waveform 1	1	61.345223901	63.359447028	333.0	3485.3	PB_trill
3	Spectrogram 1	1	61.345223901	63.359447028	333.0	3485.3	PB_trill
4	Waveform 1	1	64.727332082	64.794555846	976.8	3418.7	PB_fem call
4	Spectrogram 1	1	64.727332082	64.794555846	976.8	3418.7	PB_fem call
5	Waveform 1	1	79.934882466	80.007064301	555.0	4084.7	fem_resp
5	Spectrogram 1	1	79.934882466	80.007064301	555.0	4084.7	fem_resp
6	Waveform 1	1	92.731121858	92.801543160	865.8	4617.5	fem_resp
6	Spectrogram 1	1	92.731121858	92.801543160	865.8	4617.5	fem_resp
7	Waveform 1	1	121.389498630	123.410589995	377.4	3440.9	PB_trill
7	Spectrogram 1	1	121.389498630	123.410589995	377.4	3440.9	PB_trill
8	Waveform 1	1	121.429990878	121.495130582	732.6	4617.5	fem_resp
8	Spectrogram 1	1	121.429990878	121.495130582	732.6	4617.5	fem_resp
9	Waveform 1	1	124.777610774	124.840989945	732.6	3329.9	PB_fem call
9	Spectrogram 1	1	124.777610774	124.840989945	732.6	3329.9	PB_fem call
10	Waveform 1	1	149.693141996	149.758281700	510.6	4684.1	fem_resp
10	Spectrogram 1	1	149.693141996	149.758281700	510.6	4684.1	fem_resp
11	Waveform 1	1	157.493064829	157.556444001	888.0	3218.9	fem_resp
11	Spectrogram 1	1	157.493064829	157.556444001	888.0	3218.9	fem_resp
12	Waveform 1	1	166.172350346	166.244532180	843.6	3107.9	fem_resp
12	Spectrogram 1	1	166.172350346	166.244532180	843.6	3107.9	fem_resp
13	Waveform 1	1	178.621764868	178.688665105	888.0	3307.7	fem_resp
13	Spectrogram 1	1	178.621764868	178.688665105	888.0	3307.7	fem_resp
14	Waveform 1	1	181.426246348	183.450858779	399.6	4106.9	PB_trill
14	Spectrogram 1	1	181.426246348	183.450858779	399.6	4106.9	PB_trill
15	Waveform 1	1	184.823151828	184.874207271	932.4	3374.3	PB_fem call
15	Spectrogram 1	1	184.823151828	184.874207271	932.4	3374.3	PB_fem call
16	Waveform 1	1	194.349244126	194.416144363	865.8	4439.9	fem_resp
16	Spectrogram 1	1	194.349244126	194.416144363	865.8	4439.9	fem_resp
17	Waveform 1	1	211.004505731	211.067884903	1021.2	3152.3	fem_resp
17	Spectrogram 1	1	211.004505731	211.067884903	1021.2	3152.3	fem_resp
18	Waveform 1	1	230.921102656	230.988002893	888.0	3107.9	fem_resp
18	Spectrogram 1	1	230.921102656	230.988002893	888.0	3107.9	fem_resp
19	Waveform 1	1	241.454200824	243.471771125	399.6	4106.9	PB_trill
19	Spectrogram 1	1	241.454200824	243.471771125	399.6	4106.9	PB_trill
20	Waveform 1	1	244.837906887	244.899525526	1065.6	3374.3	PB_fem call
20	Spectrogram 1	1	244.837906887	244.899525526	1065.6	3374.3	PB_fem call
21	Waveform 1	1	261.250205626	261.315345330	799.2	3085.7	fem_resp
21	Spectrogram 1	1	261.250205626	261.315345330	799.2	3085.7	fem_resp
22	Waveform 1	1	271.733142788	271.805324622	777.0	3130.1	fem_resp
22	Spectrogram 1	1	271.733142788	271.805324622	777.0	3130.1	fem_resp
23	Waveform 1	1	280.264543349	280.329683054	799.2	3085.7	fem_resp
23	Spectrogram 1	1	280.264543349	280.329683054	799.2	3085.7	fem_resp
24	Waveform 1	1	298.161846717	298.234028551	888.0	4573.1	fem_resp
24	Spectrogram 1	1	298.161846717	298.234028551	888.0	4573.1	fem_resp
25	Waveform 1	1	301.495354498	303.521727461	643.8	4018.1	PB_trill
25	Spectrogram 1	1	301.495354498	303.521727461	643.8	4018.1	PB_trill
26	Waveform 1	1	304.883457315	304.950357551	1110.0	3374.3	PB_fem call
26	Spectrogram 1	1	304.883457315	304.950357551	1110.0	3374.3	PB_fem call
27	Waveform 1	1	314.744926266	314.813587035	954.6	3152.3	fem_resp
27	Spectrogram 1	1	314.744926266	314.813587035	954.6	3152.3	fem_resp
28	Waveform 1	1	321.093303964	321.161964733	976.8	3063.5	fem_resp
28	Spectrogram 1	1	321.093303964	321.161964733	976.8	3063.5	fem_resp
29	Waveform 1	1	339.691280537	339.756420241	976.8	3174.5	fem_resp
29	Spectrogram 1	1	339.691280537	339.756420241	976.8	3174.5	fem_resp
30	Waveform 1	1	350.574724682	350.648667049	976.8	3196.7	fem_resp
30	Spectrogram 1	1	350.574724682	350.648667049	976.8	3196.7	fem_resp
31	Waveform 1	1	361.543549637	363.557598873	399.6	4084.7	PB_trill
31	Spectrogram 1	1	361.543549637	363.557598873	399.6	4084.7	PB_trill
32	Waveform 1	1	364.921974102	364.987113806	1176.6	3440.9	PB_fem call
32	Spectrogram 1	1	364.921974102	364.987113806	1176.6	3440.9	PB_fem call
33	Waveform 1	1	370.850478737	370.912097376	1021.2	3130.1	fem_resp
33	Spectrogram 1	1	370.850478737	370.912097376	1021.2	3130.1	fem_resp
