Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Name
1	Spectrogram 1	1	3.726284939	6.281811434	595.9	5125.1	PB_trill
2	Spectrogram 1	1	7.074905863	7.528102680	1072.7	5780.7	PB_fem call
3	Spectrogram 1	1	63.658889056	66.352892356	834.3	5125.1	PB_trill
4	Spectrogram 1	1	67.083042783	67.422940396	893.9	6436.2	PB_fem call
5	Spectrogram 1	1	123.792417328	126.486420628	1013.1	5244.3	PB_trill
6	Spectrogram 1	1	127.166215853	127.569057468	1191.9	5780.7	PB_fem call
7	Spectrogram 1	1	167.696817964	168.099659579	1013.1	10786.6	fem_resp
8	Spectrogram 1	1	183.813105796	186.469342695	834.3	4767.6	PB_trill
9	Spectrogram 1	1	187.237259523	187.589745936	1132.3	5721.1	PB_fem call
10	Spectrogram 1	1	241.868785548	242.246449562	1072.7	9833.1	fem_resp
11	Spectrogram 1	1	243.870404822	246.325220914	834.3	4767.6	PB_trill
12	Spectrogram 1	1	247.231614547	247.621867362	1311.1	6615.0	PB_fem call
13	Spectrogram 1	1	303.828483404	306.484720303	1013.1	5065.5	PB_trill
14	Spectrogram 1	1	307.277814732	307.718422749	1013.1	5244.3	PB_fem call
