Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Name
3	Spectrogram 1	1	10.129487821	10.191809643	626.5	3109.1	fem_resp
5	Spectrogram 1	1	62.007852297	62.061942935	788.9	3526.7	fem_resp
7	Spectrogram 1	1	101.522462382	101.576553020	649.7	3596.3	fem_resp
10	Spectrogram 1	1	144.483287526	144.536202280	603.3	3387.5	fem_resp
13	Spectrogram 1	1	190.642291005	190.691678109	788.9	3480.3	fem_resp
14	Spectrogram 1	1	225.700051391	225.767076746	626.5	3503.5	fem_resp
17	Spectrogram 1	1	263.824291526	263.876030396	440.8	4408.4	fem_resp
20	Spectrogram 1	1	321.423743305	321.469602759	974.5	1786.5	fem_resp
22	Spectrogram 1	1	356.123285262	356.174180148	728.8	3314.8	fem_resp
24	Spectrogram 1	1	360.602974431	360.837873905	493.7	3126.7	PB _courtship
2	Spectrogram 1	1	2.355216104	2.679759928	417.6	2784.2	PB_coursthip
6	Spectrogram 1	1	62.071350002	62.357089674	765.7	2645.0	PB_courtship
9	Spectrogram 1	1	121.717024508	122.056541248	787.7	2513.7	PB_courtship
12	Spectrogram 1	1	181.430855496	181.743640487	556.8	2389.8	PB_courtship
16	Spectrogram 1	1	241.133055163	241.428045118	674.5	2392.8	PB_courtship
19	Spectrogram 1	1	300.848292097	301.138735303	533.6	2645.0	PB_courtship
1	Spectrogram 1	1	1.778870291	1.814623722	881.7	1856.2	PB_fem call
4	Spectrogram 1	1	61.449382530	61.491714333	951.3	3201.9	PB_fem call
8	Spectrogram 1	1	121.145597734	121.191457187	603.3	3457.1	PB_fem call
11	Spectrogram 1	1	180.836796585	180.888535456	904.9	1833.0	PB_fem call
15	Spectrogram 1	1	240.529721922	240.586164326	997.7	2181.0	PB_fem call
18	Spectrogram 1	1	300.229777417	300.282692171	719.3	3387.5	PB_fem call
23	Spectrogram 1	1	359.926985943	359.979185826	681.8	3690.9	PB_fem call
