Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Name
1	Spectrogram 1	1	7.655187450	10.085264379	793.4	3720.6	PB_trill
2	Spectrogram 1	1	11.055514875	11.580696336	1176.4	3365.0	PB_fem call
3	Spectrogram 1	1	67.690556475	70.067225121	793.4	3748.0	PB_trill
4	Spectrogram 1	1	71.135390804	71.535952936	1176.4	3529.1	PB_fem call
5	Spectrogram 1	1	113.817505498	114.485109050	1094.3	5663.0	fem_resp
6	Spectrogram 1	1	127.792674832	130.035822767	1039.6	3830.0	PB_trill
7	Spectrogram 1	1	131.148495354	131.540156104	1149.0	3419.7	PB_fem call
8	Spectrogram 1	1	176.603395877	176.959451105	848.1	4842.2	fem_resp
9	Spectrogram 1	1	187.810229182	190.026672975	1012.2	4131.0	PB_trill
10	Spectrogram 1	1	191.166049704	191.611118739	1094.3	3200.8	PB_fem call
11	Spectrogram 1	1	217.554199204	217.981465478	1039.6	4842.2	fem_resp
12	Spectrogram 1	1	247.778845083	250.102105444	957.5	3693.2	PB_trill
13	Spectrogram 1	1	251.196975270	251.570833259	1203.7	3419.7	PB_fem call
14	Spectrogram 1	1	303.826389933	304.040023070	1094.3	5444.1	fem_resp
15	Spectrogram 1	1	307.858712654	310.164170254	957.5	3529.1	PB_trill
16	Spectrogram 1	1	311.250138699	311.695207733	1121.7	3310.2	PB_fem call
