Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Name
1	Spectrogram 1	1	2.415747591	2.674737166	1211.5	6057.7	PB_fem call
2	Spectrogram 1	1	3.076617542	3.545477980	797.7	5811.6	PB_courtship
3	Spectrogram 1	1	61.561445528	61.914207191	1082.6	7122.1	PB_fem call
4	Spectrogram 1	1	62.320552904	62.673314567	626.7	6267.4	PB_courtship
5	Spectrogram 1	1	97.274579914	97.605014890	1310.5	8603.5	fem_resp
6	Spectrogram 1	1	120.662993071	121.064873446	968.6	5697.7	PB_fem call
7	Spectrogram 1	1	121.399773759	121.761466097	854.7	5014.0	PB_courtship
8	Spectrogram 1	1	179.826442952	180.143481915	1196.5	5697.7	PB_fem call
9	Spectrogram 1	1	180.523035603	180.911519966	968.6	5412.8	PB_courtship
10	Spectrogram 1	1	227.952304173	228.322927186	1082.6	9002.3	fem_resp
11	Spectrogram 1	1	238.941386507	239.320940196	1139.5	5526.7	PB_fem call
12	Spectrogram 1	1	239.664771184	240.084512909	854.7	6723.3	PB_courtship
13	Spectrogram 1	1	298.082334936	298.466353962	1196.5	5868.6	PB_fem call
14	Spectrogram 1	1	298.912887712	299.189738638	968.6	4501.2	PB_courtship
15	Spectrogram 1	1	354.918228608	355.186148858	1424.4	8831.4	fem_resp
16	Spectrogram 1	1	357.339250711	357.566982924	797.7	6039.5	PB_fem call
17	Spectrogram 1	1	358.027831268	358.452038331	911.6	5070.9	PB_courtship
