Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Name
1	Spectrogram 1	1	2.633267395	3.144199874	1278.300	3291.500	PB_fem call
2	Spectrogram 1	1	17.632084028	18.123365259	1246.300	3291.500	PB_fem call
3	Spectrogram 1	1	32.650550798	33.132006404	1246.300	3547.200	PB_fem call
4	Spectrogram 1	1	47.669019106	48.209428459	1246.300	3259.600	PB_fem call
5	Spectrogram 1	1	50.262984002	50.783742106	767.000	6998.500	fem_resp
6	Spectrogram 1	1	62.687485451	63.188592306	1246.300	3323.500	PB_fem call
7	Spectrogram 1	1	77.769825224	78.221803956	1182.400	3291.500	PB_fem call
8	Spectrogram 1	1	79.695647647	80.295010748	862.800	6678.900	fem_resp
9	Spectrogram 1	1	92.739163447	93.220619052	1278.300	3451.300	PB_fem call
10	Spectrogram 1	1	107.757627566	108.248908796	1182.400	3323.500	PB_fem call
11	Spectrogram 1	1	122.800654765	123.262459122	1118.500	3419.300	PB_fem call
12	Spectrogram 1	1	137.794562747	138.226890229	1054.600	3419.300	PB_fem call
13	Spectrogram 1	1	152.837589418	153.269916901	1278.300	3387.400	PB_fem call
14	Spectrogram 1	1	167.816761378	168.308042609	1214.300	3387.400	PB_fem call
15	Spectrogram 1	1	182.864696484	183.297023967	1182.400	3387.400	PB_fem call
16	Spectrogram 1	1	184.377842674	185.006682649	703.000	6998.500	fem_resp
17	Spectrogram 1	1	197.868423148	198.369530003	1214.300	3419.300	PB_fem call
18	Spectrogram 1	1	212.881994152	213.343798508	1118.500	3355.400	PB_fem call
19	Spectrogram 1	1	227.905357801	228.347510908	1310.200	3259.600	PB_fem call
20	Spectrogram 1	1	242.928760316	243.370913423	1150.400	3227.600	PB_fem call
21	Spectrogram 1	1	252.783842025	253.373379501	894.800	7094.300	fem_resp
22	Spectrogram 1	1	257.912818070	258.453227423	1022.600	3291.500	PB_fem call
23	Spectrogram 1	1	272.946033381	273.388186488	1342.200	3291.500	PB_fem call
24	Spectrogram 1	1	287.974321162	288.406648645	1086.500	3355.400	PB_fem call
25	Spectrogram 1	1	299.249233173	299.887898772	735.000	7509.800	fem_resp
26	Spectrogram 1	1	302.982970524	303.533205502	1086.500	3547.200	PB_fem call
27	Spectrogram 1	1	318.026009497	318.448511355	1118.500	3259.600	PB_fem call
28	Spectrogram 1	1	333.049383485	333.530839090	1118.500	3355.400	PB_fem call
29	Spectrogram 1	1	348.048190468	348.500169200	1150.400	3387.400	PB_fem call
30	Spectrogram 1	1	360.251626947	360.762559427	1054.600	7254.100	fem_resp
31	Spectrogram 1	1	363.027356013	363.626719114	1214.300	3291.500	PB_fem call
