Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Name
5	Spectrogram 1	1	206.008683334	206.062183046	583.5	3321.3	fem_resp
7	Spectrogram 1	1	261.928229024	261.964946386	493.7	3747.6	fem_resp
1	Spectrogram 1	1	5.891050629	8.223159450	727.3	2703.3	PB_trill
2	Spectrogram 1	1	52.844558937	55.198920704	879.0	2797.7	PB_trill
3	Spectrogram 1	1	112.903290825	115.222047878	755.6	2797.7	PB_trill
4	Spectrogram 1	1	172.944220745	175.245175440	448.8	2659.3	PB_trill
6	Spectrogram 1	1	233.001926910	235.318149757	426.4	2692.9	PB_trill
8	Spectrogram 1	1	293.045163083	295.336209594	785.4	3029.5	PB_trill
9	Spectrogram 1	1	353.085022296	355.388656975	740.6	2648.0	PB_trill
