Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Name
1	Spectrogram 1	1	4.616252834	7.045859589	719.0	4553.8	PB_trill
2	Spectrogram 1	1	55.246320059	55.352042607	778.9	8268.8	fem_resp
3	Spectrogram 1	1	64.693049414	66.810804213	359.5	5632.3	PB_trill
4	Spectrogram 1	1	103.463735076	103.576065284	659.1	8748.1	fem_resp
5	Spectrogram 1	1	124.738926940	126.902935353	239.7	5332.7	PB_trill
6	Spectrogram 1	1	184.778520435	186.859933108	0.0	4434.0	PB_trill
7	Spectrogram 1	1	232.484966111	232.693107378	719.0	10066.3	fem_resp
8	Spectrogram 1	1	244.781024251	247.037539894	179.8	5153.0	PB_trill
9	Spectrogram 1	1	304.867595976	307.021692900	0.0	5093.1	PB_trill
10	Spectrogram 1	1	364.909768687	367.001092848	239.7	5512.5	PB_trill
