Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Name
1	Spectrogram 1	1	1.391112432	1.454222745	833.300	3375.900	PB_fem call
2	Spectrogram 1	1	1.955656767	2.115446709	726.500	3910.000	PB_courtship
3	Spectrogram 1	1	60.813730007	60.870126457	833.300	3397.200	PB_fem call
4	Spectrogram 1	1	61.364266781	61.526742267	427.300	3952.800	PB_courtship
5	Spectrogram 1	1	89.790867622	89.858006253	491.400	4508.300	fem_resp
6	Spectrogram 1	1	120.230162847	120.289244842	705.100	3375.900	PB_fem call
7	Spectrogram 1	1	120.772642984	120.947203424	363.200	4016.900	PB_courtship
8	Spectrogram 1	1	138.947082496	139.010192809	427.300	4337.400	fem_resp
9	Spectrogram 1	1	179.643442343	179.710580974	769.200	3354.500	PB_fem call
10	Spectrogram 1	1	180.195321889	180.363168466	341.900	4059.600	PB_courtship
11	Spectrogram 1	1	198.046854807	198.113993438	918.700	4486.900	fem_resp
12	Spectrogram 1	1	222.500435371	222.570259547	747.800	4187.800	fem_resp
13	Spectrogram 1	1	238.899851254	238.966989885	769.200	4380.100	fem_resp
14	Spectrogram 1	1	239.085153875	239.142893098	769.200	3482.700	PB_fem call
15	Spectrogram 1	1	239.637033421	239.802194453	384.600	4081.000	PB_courtship
16	Spectrogram 1	1	265.575832539	265.641628397	641.000	4230.500	fem_resp
17	Spectrogram 1	1	294.251487480	294.317283338	854.700	3183.600	fem_resp
18	Spectrogram 1	1	298.506022210	298.563761433	833.300	3375.900	PB_fem call
19	Spectrogram 1	1	299.031046304	299.220377243	406.000	4102.300	PB_courtship
20	Spectrogram 1	1	316.163192729	316.225506418	914.073	3542.035	fem_resp
21	Spectrogram 1	1	324.794538728	324.858268638	771.249	4256.155	fem_resp
22	Spectrogram 1	1	334.173648997	334.235962686	571.296	4256.155	fem_resp
23	Spectrogram 1	1	348.044043659	348.112022229	856.944	4370.414	fem_resp
24	Spectrogram 1	1	357.921405787	357.980887036	828.379	3370.646	PB_fem call
25	Spectrogram 1	1	358.477980329	358.636596992	257.083	4284.719	PB_courtship
