Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Name
1	Spectrogram 1	1	1.697571008	1.932042141	1225.0	2075.7	PB_fem call
2	Spectrogram 1	1	7.437424359	7.596864730	1054.9	5512.5	fem_resp
3	Spectrogram 1	1	16.774065541	16.886611685	1122.9	2143.7	PB_fem call
4	Spectrogram 1	1	31.761459297	31.958415049	1225.0	2007.6	PB_fem call
5	Spectrogram 1	1	35.512997435	35.766226259	1020.8	4934.0	fem_resp
6	Spectrogram 1	1	46.781681722	46.959879783	1088.9	1905.6	PB_fem call
7	Spectrogram 1	1	61.834723802	61.975406482	1156.9	3232.6	PB_fem call
8	Spectrogram 1	1	76.826812627	76.976874152	1191.0	3368.7	PB_fem call
9	Spectrogram 1	1	91.851727230	91.973652219	884.7	3096.5	PB_fem call
10	Spectrogram 1	1	106.862571872	107.040769933	918.7	3402.8	PB_fem call
11	Spectrogram 1	1	121.812454956	122.037547244	1225.0	3470.8	PB_fem call
12	Spectrogram 1	1	136.907707837	137.048390518	952.8	3096.5	PB_fem call
13	Spectrogram 1	1	149.695760514	149.845822039	1020.8	4934.0	fem_resp
14	Spectrogram 1	1	151.899789170	152.087366077	952.8	3572.9	PB_fem call
15	Spectrogram 1	1	166.915310557	167.055993237	1259.0	3606.9	PB_fem call
16	Spectrogram 1	1	181.963673894	182.076220038	1020.8	3913.2	PB_fem call
17	Spectrogram 1	1	196.965130758	197.115192284	1156.9	3300.7	PB_fem call
18	Spectrogram 1	1	211.980689748	212.140130119	986.8	3675.0	PB_fem call
19	Spectrogram 1	1	227.024316190	227.155620025	1020.8	3777.1	PB_fem call
20	Spectrogram 1	1	241.983613850	242.152433066	1088.9	3334.7	PB_fem call
21	Spectrogram 1	1	250.888809569	251.067007630	1088.9	5172.2	fem_resp
22	Spectrogram 1	1	257.050710961	257.125741724	986.8	3811.1	PB_fem call
23	Spectrogram 1	1	272.047470407	272.206910778	1156.9	3470.8	PB_fem call
24	Spectrogram 1	1	287.058330105	287.264664702	1156.9	3504.9	PB_fem call
25	Spectrogram 1	1	302.069177556	302.237996773	1020.8	3641.0	PB_fem call
26	Spectrogram 1	1	302.753833267	302.932031328	1156.9	4866.0	fem_resp
27	Spectrogram 1	1	317.084691955	317.244132326	1191.0	3572.9	PB_fem call
28	Spectrogram 1	1	332.090849984	332.250290355	1259.0	3606.9	PB_fem call
29	Spectrogram 1	1	347.143894748	347.303335119	1122.9	3641.0	PB_fem call
30	Spectrogram 1	1	350.829780969	351.064252102	1088.9	5002.1	fem_resp
31	Spectrogram 1	1	362.126595362	362.304793424	1225.0	3811.1	PB_fem call
