Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Name
1	Spectrogram 1	1	2.310010013	2.396097343	971.900	9293.800	fem_resp
2	Spectrogram 1	1	4.332961550	4.451331628	728.900	4252.100	PB_fem call
3	Spectrogram 1	1	19.395844726	19.482081384	1154.100	3887.600	PB_fem call
4	Spectrogram 1	1	32.918778317	33.007551346	1032.600	8747.100	fem_resp
5	Spectrogram 1	1	34.416896444	34.510742218	1032.600	4130.600	PB_fem call
6	Spectrogram 1	1	42.183596678	42.315488036	789.700	8807.900	fem_resp
7	Spectrogram 1	1	49.468814902	49.572806165	911.200	4069.800	PB_fem call
8	Spectrogram 1	1	57.670913724	57.752077636	789.700	8261.200	fem_resp
9	Spectrogram 1	1	64.510581665	64.594281950	911.200	3583.900	PB_fem call
10	Spectrogram 1	1	71.798758777	71.872313573	1093.400	4069.800	fem_resp
11	Spectrogram 1	1	79.562071401	79.630553453	1093.400	3948.300	PB_fem call
12	Spectrogram 1	1	83.213143971	83.284162394	1032.600	6378.100	fem_resp
13	Spectrogram 1	1	94.579766814	94.693903566	486.000	3644.600	PB_fem call
14	Spectrogram 1	1	95.951485739	96.052940630	971.900	6621.100	fem_resp
15	Spectrogram 1	1	111.199562307	111.283262592	1032.600	6681.800	fem_resp
16	Spectrogram 1	1	109.627463765	109.713700422	546.700	3826.900	PB_fem call
17	Spectrogram 1	1	124.614686750	124.744041736	546.700	9172.300	PB_fem call
18	Spectrogram 1	1	139.702114421	139.801032939	546.700	5284.700	PB_fem call
19	Spectrogram 1	1	141.892253900	141.970881441	1032.600	7532.200	fem_resp
20	Spectrogram 1	1	154.743874977	154.837720751	911.200	4677.300	PB_fem call
21	Spectrogram 1	1	155.697550952	155.781251237	728.900	7350.000	fem_resp
22	Spectrogram 1	1	169.773823529	169.867669303	789.700	4616.500	PB_fem call
23	Spectrogram 1	1	170.747779349	170.836552378	1032.600	6864.000	fem_resp
24	Spectrogram 1	1	182.021788004	182.102951917	971.900	7107.000	fem_resp
25	Spectrogram 1	1	184.831636216	184.889839963	1078.643	4738.000	PB_fem call
26	Spectrogram 1	1	199.876386693	199.928804901	1099.070	4191.300	PB_fem call
27	Spectrogram 1	1	201.678853976	201.770163378	789.700	6013.600	fem_resp
28	Spectrogram 1	1	214.908940607	214.975316451	1058.216	4495.000	PB_fem call
29	Spectrogram 1	1	224.609115215	224.705497362	911.200	7896.700	fem_resp
30	Spectrogram 1	1	229.937692082	230.010102093	728.900	4312.800	PB_fem call
31	Spectrogram 1	1	244.975571524	245.064344554	728.900	4555.800	PB_fem call
32	Spectrogram 1	1	260.021055115	260.119973634	1032.600	5163.200	PB_fem call
33	Spectrogram 1	1	260.551156920	260.655148184	546.700	8139.700	fem_resp
34	Spectrogram 1	1	275.061725208	275.147961866	1032.600	5284.700	PB_fem call
35	Spectrogram 1	1	280.687393701	280.776166730	1032.600	7410.700	fem_resp
36	Spectrogram 1	1	290.094786916	290.186096318	971.900	5345.500	PB_fem call
37	Spectrogram 1	1	296.727393667	296.828848558	1032.600	8625.600	fem_resp
38	Spectrogram 1	1	305.141798406	305.230571435	668.200	5163.200	PB_fem call
39	Spectrogram 1	1	308.368061258	308.469516149	971.900	9293.800	fem_resp
40	Spectrogram 1	1	320.192615293	320.261097345	971.900	4920.200	PB_fem call
41	Spectrogram 1	1	334.132501807	334.241565815	1032.600	9840.500	fem_resp
42	Spectrogram 1	1	335.218067648	335.314449795	971.900	4738.000	PB_fem call
43	Spectrogram 1	1	347.747732144	347.856796152	1154.100	9172.300	fem_resp
44	Spectrogram 1	1	350.271419761	350.347510929	1032.600	5588.400	PB_fem call
45	Spectrogram 1	1	365.312090386	365.370915704	971.900	5284.700	PB_fem call
46	Spectrogram 1	1	369.164835828	369.268827091	850.400	8443.400	fem_resp
