Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Name
1	Spectrogram 1	1	3.072228029	3.186190120	969.2	4022.3	PB_fem call
2	Spectrogram 1	1	3.760748994	4.097886846	821.0	3401.3	PB_courtship
3	Spectrogram 1	1	38.004719835	38.118681925	1231.5	6978.6	fem_resp
4	Spectrogram 1	1	62.500832961	62.643285575	586.4	3460.0	PB_fem call
5	Spectrogram 1	1	63.189353926	63.569227562	586.4	3811.8	PB_courtship
6	Spectrogram 1	1	116.380480419	116.465951987	1231.5	6450.8	fem_resp
7	Spectrogram 1	1	121.937748656	122.065956009	1231.5	3401.3	PB_fem call
8	Spectrogram 1	1	122.612024360	122.958659053	938.3	3342.7	PB_courtship
9	Spectrogram 1	1	181.379412772	181.498123283	996.9	3460.0	PB_fem call
10	Spectrogram 1	1	182.091675839	182.414568429	821.0	3635.9	PB_courtship
11	Spectrogram 1	1	235.174135239	235.307091012	1055.6	6274.9	fem_resp
12	Spectrogram 1	1	240.822170043	240.945628975	1055.6	3753.2	PB_fem call
13	Spectrogram 1	1	241.463206804	241.833583598	1055.6	3518.6	PB_courtship
14	Spectrogram 1	1	256.600841475	256.714803566	938.3	5453.9	fem_resp
15	Spectrogram 1	1	300.240394242	300.378098435	1231.5	4046.4	PB_fem call
16	Spectrogram 1	1	300.890927843	301.294543581	821.0	3049.5	PB_courtship
17	Spectrogram 1	1	335.679801449	335.827002483	1055.6	6040.3	fem_resp
18	Spectrogram 1	1	355.326501227	355.468953840	821.0	6040.3	fem_resp
19	Spectrogram 1	1	359.706126065	359.910308144	1055.6	3811.8	PB_fem call
20	Spectrogram 1	1	360.418389132	360.746030143	996.9	3166.8	PB_courtship
21	Spectrogram 1	1	379.432781439	379.617969837	1055.6	5981.6	fem_resp
