Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Name
1	Spectrogram 1	1	4.257243132	4.544144300	1145.8	2434.9	PB_courtship
2	Spectrogram 1	1	9.541777542	9.782404328	1104.9	3805.8	fem_resp
3	Spectrogram 1	1	22.234840873	22.466212783	1104.9	3314.8	fem_resp
4	Spectrogram 1	1	49.832883886	49.971707032	961.7	3621.7	fem_resp
5	Spectrogram 1	1	63.428294243	63.705940534	1207.2	2516.8	PB_courtship
6	Spectrogram 1	1	75.251405886	75.436503413	1125.4	3867.2	fem_resp
7	Spectrogram 1	1	122.608605775	122.849232561	961.7	2557.7	PB_courtship
8	Spectrogram 1	1	132.867631972	133.061984376	941.2	3887.7	fem_resp
9	Spectrogram 1	1	175.028234380	175.167057525	1043.5	3826.3	fem_resp
10	Spectrogram 1	1	181.700993209	182.089698017	1309.5	2394.0	PB_courtship
11	Spectrogram 1	1	216.374405321	216.513228466	900.3	3969.5	fem_resp
12	Spectrogram 1	1	240.899828426	241.233003976	1207.2	2496.3	PB_court
13	Spectrogram 1	1	273.527876250	273.712973778	1104.9	4112.8	fem_resp
14	Spectrogram 1	1	300.163418562	300.459574606	1145.8	2434.9	PB_courtship
15	Spectrogram 1	1	328.251985706	328.464847863	1002.6	3580.8	fem_resp
16	Spectrogram 1	1	359.269672104	359.649122035	1227.7	2230.3	PB_courtship
17	Spectrogram 1	1	374.137637327	374.304225102	982.2	3826.3	fem_resp
