Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Name
1	Spectrogram 1	1	4.806044116	6.845384678	829.2	2518.2	PB_trill
2	Spectrogram 1	1	7.886905036	8.076272374	1197.7	3101.7	PB_fem call
3	Spectrogram 1	1	33.547698204	33.635098514	952.0	4084.5	fem_resp
4	Spectrogram 1	1	64.735588045	66.833195480	798.5	2671.8	PB_trill
5	Spectrogram 1	1	67.852865760	68.042233098	1105.6	3347.4	PB_fem call
6	Spectrogram 1	1	103.904547994	104.093915332	982.7	3930.9	fem_resp
7	Spectrogram 1	1	120.783263240	120.899796986	1013.4	5251.5	fem_resp
8	Spectrogram 1	1	124.853381072	126.907288352	952.0	2641.1	PB_trill
9	Spectrogram 1	1	127.897825196	128.094475893	1320.5	3286.0	PB_fem call
10	Spectrogram 1	1	146.808142520	146.990226499	1013.4	5896.4	fem_resp
11	Spectrogram 1	1	181.069312896	181.229546797	1136.3	5128.6	fem_resp
12	Spectrogram 1	1	184.891584931	186.960058929	829.2	2610.4	PB_trill
13	Spectrogram 1	1	187.957879133	188.118113034	1136.3	3470.3	PB_fem call
14	Spectrogram 1	1	202.936225301	203.074609125	1259.1	3777.4	fem_resp
15	Spectrogram 1	1	244.172979758	244.391480532	982.7	4391.6	fem_resp
16	Spectrogram 1	1	244.864898877	246.926089516	767.8	2733.2	PB_trill
17	Spectrogram 1	1	247.938476438	248.266227600	1136.3	3224.6	PB_fem call
18	Spectrogram 1	1	264.438239032	264.598472933	1136.3	3808.1	fem_resp
19	Spectrogram 1	1	304.961448659	307.066339453	644.9	2825.3	PB_trill
20	Spectrogram 1	1	307.991326065	308.289943790	1197.7	2763.9	PB_fem call
21	Spectrogram 1	1	364.999573469	367.242848086	829.2	2702.5	PB_trill
22	Spectrogram 1	1	368.029450875	368.255235008	1259.1	3408.8	PB_fem call
23	Spectrogram 1	1	385.730875898	385.905676517	921.3	3715.9	fem_resp
