Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Name
1	Spectrogram 1	1	4.618102520	6.986313551	332.7	3517.6	PB_trill
2	Spectrogram 1	1	7.946939997	8.133728473	1140.9	4088.1	PB_fem call
3	Spectrogram 1	1	64.531239294	66.966160495	522.9	3850.4	PB_trill
4	Spectrogram 1	1	67.953471010	68.133588468	1093.3	4040.5	PB_fem call
5	Spectrogram 1	1	124.663825595	127.038707643	380.3	3375.0	PB_trill
6	Spectrogram 1	1	128.012676123	128.139425446	1093.3	3850.4	PB_fem call
7	Spectrogram 1	1	159.012442875	159.172547283	1045.8	6369.8	fem_resp
8	Spectrogram 1	1	184.703506920	187.071717951	522.9	3422.6	PB_trill
9	Spectrogram 1	1	188.044864418	188.218310860	1188.4	4088.1	PB_fem call
10	Spectrogram 1	1	244.742971036	247.077826982	285.2	3042.3	PB_trill
11	Spectrogram 1	1	248.084412644	248.244517052	1045.8	4040.5	PB_fem call
12	Spectrogram 1	1	304.761973810	307.170210943	427.8	3707.8	PB_trill
13	Spectrogram 1	1	308.090811288	308.257586712	998.2	3993.0	PB_fem call
14	Spectrogram 1	1	365.248456761	367.636680843	665.5	3612.7	PB_trill
15	Spectrogram 1	1	368.610649323	368.744069663	950.7	3945.5	PB_fem call
