Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Name
1	Spectrogram 1	1	0.995390220	3.168757031	589.3	2919.6	PB_trill
2	Spectrogram 1	1	4.215897910	4.271851798	937.5	1633.9	PB_fem call
3	Spectrogram 1	1	61.009223679	63.207208360	859.4	2558.6	PB_trill
4	Spectrogram 1	1	64.258552468	64.317451298	937.5	1679.7	PB_fem call
5	Spectrogram 1	1	121.047168088	123.255515870	839.8	2617.2	PB_trill
6	Spectrogram 1	1	124.303915037	124.365758808	1113.3	1699.2	PB_fem call
7	Spectrogram 1	1	167.849654342	167.919106845	943.5	3406.9	fem_resp
8	Spectrogram 1	1	181.188331105	183.402156595	878.9	2812.5	PB_trill
9	Spectrogram 1	1	184.323923278	184.373987283	996.1	1660.2	PB_fem call
10	Spectrogram 1	1	214.199655076	214.273316822	1013.3	3511.8	fem_resp
11	Spectrogram 1	1	237.716803081	237.782046341	926.0	3476.8	fem_resp
12	Spectrogram 1	1	241.121648610	243.401836125	878.9	2480.5	PB_trill
13	Spectrogram 1	1	244.365903054	244.430691767	1113.3	1660.2	PB_fem call
14	Spectrogram 1	1	262.900273864	262.969726366	926.0	3738.9	fem_resp
15	Spectrogram 1	1	284.043652809	284.106791448	838.6	3669.0	fem_resp
16	Spectrogram 1	1	301.165706332	303.403102123	937.5	2656.3	PB_trill
17	Spectrogram 1	1	304.409179505	304.468078334	820.3	1621.1	PB_fem call
18	Spectrogram 1	1	319.769470419	319.838922922	926.0	3773.8	fem_resp
19	Spectrogram 1	1	332.626706502	332.702472869	698.9	3634.1	fem_resp
20	Spectrogram 1	1	352.157258953	352.226711456	786.2	3791.3	fem_resp
21	Spectrogram 1	1	361.206707501	363.398255019	800.8	2519.5	PB_trill
22	Spectrogram 1	1	364.459650893	364.509714898	1113.3	1640.6	PB_fem call
